id,city,city_ascii,province_id,province_name,lat,lng,population,density,timezone,ranking,postal,city_id
908,Macamic,Macamic,QC,Quebec,48.75,-79,2734,13.5,America/Montreal,3,J0Z,909
909,Sundre,Sundre,AB,Alberta,51.7972,-114.6406,2729,245.6,America/Edmonton,3,T0M,910
910,Rougemont,Rougemont,QC,Quebec,45.4333,-73.05,2723,62,America/Montreal,3,J0L,911
911,Piedmont,Piedmont,QC,Quebec,45.9,-74.13,2721,111.7,America/Montreal,3,J0R,912
912,Grimshaw,Grimshaw,AB,Alberta,56.1908,-117.6117,2718,383.4,America/Edmonton,3,T0H,913
913,Lac-des-Écorces,Lac-des-Ecorces,QC,Quebec,46.55,-75.35,2713,18.8,America/Montreal,3,J0W,914
914,Northeastern Manitoulin and the Islands,Northeastern Manitoulin and the Islands,ON,Ontario,45.9667,-81.9333,2706,5.5,America/Toronto,3,P0P,915
915,Pelican Narrows,Pelican Narrows,SK,Saskatchewan,55.1883,-102.9342,2703,295,America/Regina,3,S0P,916
916,McDougall,McDougall,ON,Ontario,45.45,-80.0167,2702,10.1,America/Toronto,3,P2A,917
917,Black Diamond,Black Diamond,AB,Alberta,50.6881,-114.2333,2700,702.7,America/Edmonton,3,T0L,918
918,Saint-Pamphile,Saint-Pamphile,QC,Quebec,46.9667,-69.7833,2685,19.6,America/Montreal,3,G0R,919
919,Bedford,Bedford,QC,Quebec,45.1167,-72.9833,2684,639.4,America/Montreal,3,J0J,920
920,Weedon-Centre,Weedon-Centre,QC,Quebec,45.7,-71.4667,2683,12.4,America/Montreal,3,J0B,921
921,Lacolle,Lacolle,QC,Quebec,45.0833,-73.3667,2680,54,America/Montreal,3,J0J,922
922,Saint-Gabriel-de-Brandon,Saint-Gabriel-de-Brandon,QC,Quebec,46.2667,-73.3833,2679,26.8,America/Montreal,3,J0K,923
923,Errington,Errington,BC,British Columbia,49.2874,-124.3433,2677,97.4,America/Vancouver,4,V0R V9P,924
924,Coalhurst,Coalhurst,AB,Alberta,49.7457,-112.9319,2668,857.5,America/Edmonton,3,T0L,925
925,French River / Rivière des Français,French River / Riviere des Francais,ON,Ontario,46.1667,-80.5,2662,3.6,America/Toronto,3,P0M,926
926,Arviat,Arviat,NU,Nunavut,61.0996,-94.1688,2657,20.1,America/Rankin_Inlet,4,X0C,927
927,Saint-David-de-Falardeau,Saint-David-de-Falardeau,QC,Quebec,48.6167,-71.1167,2657,6.6,America/Montreal,4,G0V,928
928,Markstay,Markstay,ON,Ontario,46.4912,-80.4717,2656,5.2,America/Toronto,4,P0H P0M,929
929,Spaniards Bay,Spaniards Bay,NL,Newfoundland and Labrador,47.6181,-53.3369,2653,40.4,America/St_Johns,3,A0A,930
930,Cocagne,Cocagne,NB,New Brunswick,46.3406,-64.62,2649,66.78,America/Moncton,3,E4R,931
931,Saint-Bruno,Saint-Bruno,QC,Quebec,48.4667,-71.65,2636,33.8,America/Montreal,3,G0W,932
932,Chetwynd,Chetwynd,BC,British Columbia,55.6972,-121.6333,2635,43.1,America/Dawson_Creek,3,V0C,933
933,Laurier-Station,Laurier-Station,QC,Quebec,46.5333,-71.6333,2634,219.3,America/Montreal,3,G0S,934
934,Saint-Anicet,Saint-Anicet,QC,Quebec,45.12,-74.35,2626,19.4,America/Montreal,3,J0S,935
935,Saint-Mathieu-de-Beloeil,Saint-Mathieu-de-Beloeil,QC,Quebec,45.5667,-73.2,2624,65.8,America/Montreal,3,J3G,936
936,Cap-Chat,Cap-Chat,QC,Quebec,49.1,-66.6833,2623,14.4,America/Montreal,3,G0J,937
937,Sexsmith,Sexsmith,AB,Alberta,55.3508,-118.7825,2620,197.9,America/Edmonton,3,T0H,938
938,Notre-Dame-de-Lourdes,Notre-Dame-de-Lourdes,QC,Quebec,46.1,-73.4333,2595,72.6,America/Montreal,4,J0K,939
939,Ville-Marie,Ville-Marie,QC,Quebec,47.3333,-79.4333,2595,424.8,America/Montreal,3,J9V,940
940,Saint-Isidore,Saint-Isidore,QC,Quebec,45.3,-73.68,2581,49.7,America/Montreal,3,J0L,941
941,Shippegan,Shippegan,NB,New Brunswick,47.7439,-64.7178,2580,257.6,America/Moncton,3,E8S,942
